gene,PM,MM,BN,SN,PMN
ENSG00000000419,15.42816,20.72889,20.32883,22.62145,32.21675
ENSG00000000938,80.44345,371.44338,436.13697,305.04836,430.06732
ENSG00000001036,16.944445,7.4629529,4.3292776,3.3736852,0.9912186
ENSG00000001084,17.6020728,4.5930597,3.8194131,3.2905121,0.8418009
ENSG00000001167,11.02384,15.80978,25.36169,27.61735,36.06021
ENSG00000001497,9.6359523,4.7380797,3.0638806,1.8775705,0.8849249
ENSG00000001561,9.0484515,61.2722107,40.6343635,4.3540066,0.4996687
ENSG00000001630,7.770832,6.439512,3.702047,2.365871,1.896327
ENSG00000002549,16.211779,7.760115,6.136963,18.110809,37.931839
ENSG00000002822,9.465891,7.48597,8.255699,4.987928,6.080869
ENSG00000002834,49.71801,116.91713,159.66792,165.59894,177.21916
ENSG00000003056,87.2959,49.78385,30.11766,24.22251,23.05266
ENSG00000003400,23.01849,60.75782,34.76785,10.90603,10.98376
ENSG00000003402,115.3492,194.9417,235.3677,517.8479,758.017
ENSG00000004059,44.8047,69.67305,75.45546,78.45031,111.51367
ENSG00000004142,14.493232,11.101207,12.648641,9.15073,9.310496
ENSG00000004455,87.11625,54.93662,46.50757,30.27767,13.01691
ENSG00000004468,13.842058,1.627571,2.207351,4.22759,1.400937
ENSG00000004478,11.1645693,0.8832963,1.2118807,2.110237,2.1019091
ENSG00000004487,16.5257654,7.4961173,4.4449286,3.8225366,0.8301038
ENSG00000004700,13.058465,8.583597,10.606966,11.556223,10.81575
ENSG00000004766,10.010407,10.027673,9.140465,4.767171,2.436166
ENSG00000004779,23.049891,17.443527,14.566487,7.377239,3.857025
ENSG00000005007,15.72039,14.38563,20.6196,46.48073,96.81892
ENSG00000005020,19.9559,52.79449,76.72872,109.66003,131.60668
ENSG00000005022,80.67301,44.2816,31.46223,25.42095,22.64837
ENSG00000005075,16.23686,20.70144,25.00862,27.4142,31.55036
ENSG00000005156,26.973784,48.019505,39.940781,6.728758,3.008461
ENSG00000005194,10.455599,7.133629,5.818553,4.760802,5.135908
ENSG00000005381,2132.218971,57.93372,94.270628,248.232327,1.985061
ENSG00000005810,23.36212,30.80446,37.43933,28.00559,28.06884
ENSG00000005844,7.117227,31.026868,53.250422,93.379801,111.49743
ENSG00000005961,0.7323033,0.9907908,2.2465557,4.6574372,0.1234773
ENSG00000006125,23.13152,25.52185,34.97871,25.66884,25.18875
ENSG00000006451,3.714951,5.271234,4.831736,3.685652,2.943853
ENSG00000006530,8.3211426,4.8780712,1.9816957,1.8860312,0.2731498
ENSG00000006534,34.497367,63.334112,63.527069,27.61209,9.183827
ENSG00000006625,16.2084741,4.3812812,2.2019618,3.5571483,0.6916515
ENSG00000006712,10.85242,12.90416,18.3254,22.92075,42.71987
ENSG00000006715,28.3444,31.00112,29.90887,49.80211,58.74699
ENSG00000007080,5.569864,4.847143,4.143193,1.905219,1.917185
ENSG00000007168,47.05292,67.76871,79.04389,112.23874,141.83358
ENSG00000007237,19.60991,70.36394,59.73155,22.49201,44.30405
ENSG00000008018,48.67598,48.10837,50.42786,52.9103,72.08397
ENSG00000008130,67.79266,178.95461,261.81201,423.19231,530.09904
ENSG00000008282,26.219089,19.550558,13.725306,9.063981,5.750148
ENSG00000008394,47.671611,12.332635,4.245394,7.671317,0.913329
ENSG00000008438,86.65835,1685.80869,2586.4091,423.59654,49.42484
ENSG00000008516,2.677665,33.995979,117.842578,359.015484,1045.544925
ENSG00000008869,17.34893,25.74669,21.32137,12.92725,7.63067
ENSG00000008952,31.50425,58.43877,77.60957,55.17902,46.74062
ENSG00000008988,946.6217,487.951,293.64123,214.425,38.90134
ENSG00000009307,121.1652,108.0457,125.6203,151.3586,238.0507
ENSG00000009335,28.62634,42.25202,39.14979,17.61922,14.65299
ENSG00000009790,5.544104,41.218097,77.928605,83.819895,43.016813
ENSG00000009844,14.92609,20.98992,24.17854,18.85528,13.7795
ENSG00000009954,25.633085,16.000177,12.066806,8.655535,6.676329
ENSG00000010017,19.46662,31.74787,36.74706,25.30779,22.77761
ENSG00000010244,100.19758,110.26799,90.85557,72.50588,97.94288
ENSG00000010256,48.59377,71.29822,71.72311,27.77871,19.03178
ENSG00000010292,45.16845,45.90997,36.81914,15.13055,11.91834
ENSG00000010671,24.94656,42.1158,49.56579,41.20424,31.14545
ENSG00000011009,13.82164,20.72556,23.04989,19.96995,23.99745
ENSG00000011052,3.2592909,0.3742566,0.2666015,0.4690645,0.0338346
ENSG00000011260,23.33233,14.511969,12.219566,6.32326,6.454702
ENSG00000011304,64.04634,26.8224,19.27413,23.28426,26.7226
ENSG00000011422,13.68315,37.98713,142.19553,515.14288,425.00714
ENSG00000011485,10.4048251,4.4698679,2.3616056,2.4516657,0.2227904
ENSG00000011600,93.84311,321.65783,425.12625,616.70598,784.35602
ENSG00000012223,376.63369,18338.39217,10571.54694,666.33028,35.10759
ENSG00000012660,64.36105,124.65131,124.79247,182.51129,236.92092
ENSG00000012779,35.11563,308.8704,411.69689,384.71556,357.17104
ENSG00000013275,16.19333,20.19149,24.50324,19.48313,19.12923
ENSG00000013364,24.66826,58.79761,78.76396,174.63945,258.43573
ENSG00000013374,12.18754,20.16563,20.45559,44.14712,70.25598
ENSG00000013375,8.573674,4.672073,2.815326,1.625444,1.786214
ENSG00000013583,6.720644,2.913083,1.856189,2.168159,1.91663
ENSG00000013810,35.5647,27.90599,27.22203,52.45122,83.41536
ENSG00000014123,8.195491,8.87675,8.46715,4.409959,1.792748
ENSG00000014216,43.34735,63.09333,75.96078,56.83733,40.82288
ENSG00000014257,14.69559,37.55197,38.80265,29.15602,43.56508
ENSG00000014641,39.1345,35.87536,20.21861,10.95428,3.05116
ENSG00000015285,25.13738,50.19616,63.97122,118.58685,163.32719
ENSG00000015475,25.58282,50.37361,74.16969,110.11625,181.87247
ENSG00000017797,28.49594,20.56171,24.45774,58.16499,96.60261
ENSG00000018510,27.077876,45.728411,34.7867,7.201465,2.32147
ENSG00000019582,28.22564,57.50122,82.16285,151.17466,110.5307
ENSG00000020129,5.6547504,2.8724407,1.9641115,0.9765172,0.4361487
ENSG00000020922,22.180239,11.523723,9.155264,11.083733,11.550934
ENSG00000021355,511.0026,296.1037,312.8158,204.5379,170.1102
ENSG00000021776,14.91742,20.83531,23.30368,17.32487,10.64715
ENSG00000022277,50.55606,112.64814,148.00979,168.61022,200.30391
ENSG00000023191,59.95772,29.23368,25.97503,14.76838,11.09771
ENSG00000023228,29.27144,25.15489,27.16286,22.73307,22.44369
ENSG00000023318,8.075995,9.813515,10.681562,13.179602,16.071299
ENSG00000023697,13.277139,8.181265,4.823529,4.572261,4.648799
ENSG00000023734,16.15331,18.49433,19.69726,19.86644,21.91081
ENSG00000023892,37.21557,47.43365,74.68051,87.23493,83.32994
ENSG00000023909,19.62527,37.44896,52.83628,16.86034,4.69479
ENSG00000025708,4.886191,17.487626,37.082254,118.5572,165.219138
ENSG00000025770,23.347952,11.897461,8.865312,11.366784,12.983022
ENSG00000025772,5.012567,4.47122,3.076097,1.807591,1.021831
ENSG00000025796,31.4026,76.09493,47.69345,20.25125,22.47852
ENSG00000026025,166.2073,1246.2278,1659.6596,986.1311,346.9478
ENSG00000026297,63.02513,79.24532,98.97784,302.30543,489.77245
ENSG00000026508,14.61395,49.89804,177.08989,197.73058,74.98564
ENSG00000028528,22.60883,32.93536,43.58688,41.02134,43.79192
ENSG00000029725,15.73815,13.70793,13.58957,15.48735,20.2555
ENSG00000029993,21.8296697,18.8120226,5.5416074,3.4701611,0.1565986
ENSG00000030066,18.887466,8.136779,5.634125,7.301648,6.641875
ENSG00000030582,282.2785,476.669,460.2208,291.0852,160.9566
ENSG00000031698,21.46897,23.62892,29.04274,23.75509,24.73594
ENSG00000031823,14.20035,15.12901,15.08174,20.9968,26.2315
ENSG00000032389,9.650222,7.658274,7.682907,5.547955,3.064476
ENSG00000033011,5.5261906,2.9494355,1.7741449,1.1190295,0.1484005
ENSG00000033030,17.649742,13.982553,9.327138,10.435341,16.082191
ENSG00000033050,9.668593,5.792939,4.277689,2.224645,1.191138
ENSG00000033178,20.72246,23.97705,29.05202,16.69991,17.39385
ENSG00000033627,10.56789,25.96614,38.56489,47.74943,49.03685
ENSG00000034693,7.5099182,6.3576446,2.8146959,1.742459,0.4170834
ENSG00000034713,26.65412,58.56041,72.28638,106.64385,130.01757
ENSG00000035403,52.04836,89.74853,126.46827,73.65054,30.80291
ENSG00000035664,9.393605,38.230345,69.189706,91.33847,78.552992
ENSG00000035687,42.71879,221.36918,181.94653,36.05034,21.89235
ENSG00000035862,14.03607,31.92804,43.2703,68.68397,58.3548
ENSG00000035928,22.19572,14.698006,17.891571,11.687806,7.331558
ENSG00000036054,15.49928,15.87292,15.88432,19.36803,29.14975
ENSG00000036257,24.6998,41.70386,50.13236,80.67163,106.51406
ENSG00000037474,13.825838,15.234685,15.226512,8.133098,8.065512
ENSG00000037757,13.773764,6.466342,4.616439,3.236757,1.150664
ENSG00000038002,11.7146214,16.6820018,13.5033645,4.8640315,0.6925472
ENSG00000038219,17.06098,43.53343,70.11076,151.68386,219.8478
ENSG00000038274,17.73078,32.76459,42.75257,61.70461,73.45038
ENSG00000038358,21.56357,15.9105,15.4014,13.4129,15.40628
ENSG00000039123,29.335609,22.380212,21.681627,12.512984,8.764948
ENSG00000039319,16.24513,40.23989,45.784,74.05192,104.55704
ENSG00000039650,27.68762,22.70935,19.39167,22.58721,39.93457
ENSG00000040341,55.71018,54.13051,59.93145,47.6216,46.36862
ENSG00000041357,60.28985,61.69877,55.40352,55.23457,55.34214
ENSG00000042088,18.903736,21.254896,14.257351,6.878817,7.733485
ENSG00000042493,53.95375,216.82036,307.09303,108.01377,13.92533
ENSG00000042753,37.5957,27.26148,21.06253,16.29036,13.22431
ENSG00000043093,17.02638,23.04705,27.57268,30.51152,36.11458
ENSG00000043462,90.70093,167.85888,114.70397,264.37028,319.83418
ENSG00000044446,19.91763,19.38682,24.33528,26.29518,21.02359
ENSG00000044574,35.45667,16.2936,17.32823,29.5852,51.74561
ENSG00000047056,13.84278,17.99735,22.01192,15.60967,13.08723
ENSG00000047230,6.2231661,2.782193,1.2080718,0.9232024,0.1594467
ENSG00000047249,13.94738,22.51747,28.41763,19.97188,17.71767
ENSG00000047315,32.17707,38.10739,41.04673,37.11121,42.4549
ENSG00000047410,37.63534,35.26798,34.079,80.54496,177.38388
ENSG00000047457,0.1480459,0.1011498,0.1759893,0.26019,0.1335532
ENSG00000047579,4.756504,2.736025,2.033511,3.083097,4.924673
ENSG00000047849,6.307714,7.648806,7.306176,3.257718,1.474798
ENSG00000048162,9.258571,1.676855,1.166185,2.086957,1.507749
ENSG00000048649,16.31924,19.28516,21.45935,33.14541,44.21119
ENSG00000048828,38.19837,31.75174,36.1149,67.60178,85.08649
ENSG00000049239,24.346604,32.214286,27.297311,12.662653,4.401611
ENSG00000049245,31.59677,115.8336,154.25633,116.10708,120.39554
ENSG00000049541,17.943708,6.495913,5.534912,12.277622,14.464627
ENSG00000049860,21.6276,29.60907,24.47724,43.16547,45.80856
ENSG00000051382,23.99245,34.9018,32.39128,20.17727,18.60801
ENSG00000051523,265.3027,396.2012,522.9598,391.474,361.8563
ENSG00000051596,15.1134157,3.9868427,2.5812869,2.2943968,0.7150385
ENSG00000051620,14.99597,31.99613,50.93566,62.04074,57.82331
ENSG00000052749,31.23935,55.59541,134.53011,164.92724,76.57605
ENSG00000053371,15.922216,6.670277,3.892135,3.294518,1.069977
ENSG00000053372,7.78486975,0.70958939,0.56128804,1.13600155,0.07342435
ENSG00000054116,16.86477,23.49715,24.62781,21.67348,26.623
ENSG00000054118,35.77011,37.31531,41.00344,57.03517,69.46778
ENSG00000054148,20.3362829,8.312205,5.2636138,2.8726913,0.2993982
ENSG00000054523,12.41739,39.09386,62.32051,48.88577,28.23882
ENSG00000054611,6.574971,7.649554,9.612026,17.657404,28.394671
ENSG00000054983,13.64087,26.53309,29.61264,26.32414,35.37755
ENSG00000055044,37.350054,9.078158,5.250259,6.353269,1.743878
ENSG00000055130,21.086295,13.358788,9.18816,6.275248,2.570168
ENSG00000055147,13.6472,19.48543,21.44744,13.98039,14.33557
ENSG00000055163,57.01077,139.36627,219.75741,150.02975,70.60566
ENSG00000055332,10.78489,30.95926,49.2511,61.78939,39.04187
ENSG00000055950,11.612954,12.944796,9.757088,5.780243,4.115829
ENSG00000056050,10.159928,9.762374,6.533872,3.646888,1.591205
ENSG00000056097,15.6368,22.59363,26.68215,21.8094,14.94256
ENSG00000057608,96.8059,103.33143,96.99524,90.66305,102.22404
ENSG00000057663,14.58473,18.76108,20.1384,15.65279,14.36634
ENSG00000057757,17.16817,11.23987,11.23529,12.22993,21.33103
ENSG00000058063,62.9762,117.3207,164.7286,147.142,100.7762
ENSG00000058262,46.88577,29.77639,27.46915,17.47126,15.95795
ENSG00000058668,28.134616,10.36427,6.832704,12.712398,26.657677
ENSG00000058673,37.72996,43.80375,46.01058,74.82158,110.28639
ENSG00000059377,14.22101,33.26614,57.5124,159.24535,355.05225
ENSG00000059378,11.79001,34.94891,40.0705,29.65666,40.4442
ENSG00000059573,13.80916273,0.86518828,0.80814421,1.98962462,0.02939047
ENSG00000059804,8.001032,171.820975,476.367991,746.028709,616.953677
ENSG00000060237,43.88601,75.17617,80.43873,99.66868,125.86064
ENSG00000060339,20.172714,20.188576,14.167872,9.97607,9.954278
ENSG00000060491,12.04789,17.3461,27.85652,43.47373,51.77932
