ENSG00000000419,DPM1
ENSG00000000938,FGR
ENSG00000001036,FUCA2
ENSG00000001084,GCLC
ENSG00000001167,NFYA
ENSG00000001497,LAS1L
ENSG00000001561,ENPP4
ENSG00000001630,CYP51A1
ENSG00000002549,LAP3
ENSG00000002822,MAD1L1
ENSG00000002834,LASP1
ENSG00000003056,M6PR
ENSG00000003400,CASP10
ENSG00000003402,CFLAR
ENSG00000004059,ARF5
ENSG00000004142,POLDIP2
ENSG00000004455,AK2
ENSG00000004468,CD38
ENSG00000004478,FKBP4
ENSG00000004487,KDM1A
ENSG00000004700,RECQL
ENSG00000004766,VPS50
ENSG00000004779,NDUFAB1
ENSG00000005007,UPF1
ENSG00000005020,SKAP2
ENSG00000005022,SLC25A5
ENSG00000005075,POLR2J
ENSG00000005156,LIG3
ENSG00000005194,CIAPIN1
ENSG00000005381,MPO
ENSG00000005810,MYCBP2
ENSG00000005844,ITGAL
ENSG00000005961,ITGA2B
ENSG00000006125,AP2B1
ENSG00000006451,RALA
ENSG00000006530,AGK
ENSG00000006534,ALDH3B1
ENSG00000006625,GGCT
ENSG00000006712,PAF1
ENSG00000006715,VPS41
ENSG00000007080,CCDC124
ENSG00000007168,PAFAH1B1
ENSG00000007237,GAS7
ENSG00000008018,PSMB1
ENSG00000008130,NADK
ENSG00000008282,SYPL1
ENSG00000008394,MGST1
ENSG00000008438,PGLYRP1
ENSG00000008516,MMP25
ENSG00000008869,HEATR5B
ENSG00000008952,SEC62
ENSG00000008988,RPS20
ENSG00000009307,CSDE1
ENSG00000009335,UBE3C
ENSG00000009790,TRAF3IP3
ENSG00000009844,VTA1
ENSG00000009954,BAZ1B
ENSG00000010017,RANBP9
ENSG00000010244,ZNF207
ENSG00000010256,UQCRC1
ENSG00000010292,NCAPD2
ENSG00000010671,BTK
ENSG00000011009,LYPLA2
ENSG00000011052,NME1-NME2
ENSG00000011260,UTP18
ENSG00000011304,PTBP1
ENSG00000011422,PLAUR
ENSG00000011485,PPP5C
ENSG00000011600,TYROBP
ENSG00000012223,LTF
ENSG00000012660,ELOVL5
ENSG00000012779,ALOX5
ENSG00000013275,PSMC4
ENSG00000013364,MVP
ENSG00000013374,NUB1
ENSG00000013375,PGM3
ENSG00000013583,HEBP1
ENSG00000013810,TACC3
ENSG00000014123,UFL1
ENSG00000014216,CAPN1
ENSG00000014257,ACPP
ENSG00000014641,MDH1
