"gene","33h","41h","45h","49h","53h","57h","61h","65h"
"P0A345",17.2164002856711,17.0362169685493,16.640395783326,17.6015451465938,17.6268335609095,16.5799728022215,16.1755694685091,16.0434840115225
"P48859",17.8240310019919,17.819732632063,17.8523065986075,17.9534629219687,17.7968659367436,17.7490280037712,17.5899890749757,17.5766065855786
"Q9L0T9",17.5345905264345,17.3197945394096,17.6752142939686,17.5789495082737,17.2032758456797,16.6636324117124,16.3940412278091,16.5943325497438
"Q9F2Q3",17.584540986275,17.6390115524908,17.6511358175443,17.5928260607108,17.6131533269565,17.6499045132375,17.6954798065033,17.7308135463785
"P66337",17.5518171255733,17.3374800353571,17.3067714305025,17.2925183018139,17.3455931237859,17.2604700904818,17.2198032374926,17.2039443334371
"Q9K4H3",16.7715144822979,16.8051172286371,16.9237974832014,17.0248361795375,16.9186013248699,16.2774692018804,15.7351445514672,15.7545225674354
"O86773",17.3469354029577,17.1607064741413,17.0875309127382,17.0049541129341,16.838032819337,16.6553781231265,16.4586100374346,16.3122819312082
"O86713",16.6296649980945,16.9197871023517,16.9487579214586,17.0356588727686,16.956514121815,17.1249195377639,17.2550540973929,17.314396781502
"Q9X8U2",17.186403674034,16.9682827907435,17.0435244565221,17.04357692422,16.7988541599405,16.8124122357636,16.7468234675133,16.8227060960281
"Q9L1I1",16.7148517836009,16.7688570650703,16.6819633501286,16.7540873012139,16.6678450176694,16.5752471769048,16.6256647174503,16.614691147398
"Q9Z548",17.2043974004139,17.1007116583287,17.1322381863091,17.0174346267197,16.9926441270817,16.7694197384464,16.5689331962827,16.6363308753296
"Q9KY55",17.5029710014664,17.5743780827587,17.6167956047928,17.6490461227175,17.5530922296428,17.5004557814505,17.4409070092665,17.3754355231418
"P40174",17.964916613006,17.7033994010131,17.435706834854,17.3930403824956,17.4228552155084,17.2464936683015,16.779207346117,16.9029745402588
"O31212",17.4310619149302,17.4510588684745,17.4451229485535,17.4326666152237,17.3642246952409,17.3861140324862,17.3334812293894,17.270420304457
"Q9K4E5",17.103552345943,16.951117473838,16.9288789032811,16.9539679327487,16.8262958985429,16.8075345293262,16.8080891080929,16.8966359163421
"Q9X8T5",17.6009775764284,17.6532104602964,17.5225638705726,17.4265837161799,17.3086904190112,17.2107697743125,17.1990599296745,17.0960630003128
"O86655",17.3016900930247,17.3845014218584,17.3525368756862,17.3969321268345,17.3841302592735,17.3759415341105,17.3637108771137,17.3556026626663
"P48950",17.2582877192387,17.263373154449,17.2155153579885,17.204873848416,17.1122339948073,17.1259555224545,17.078097388403,17.0375947742814
"Q9KXU7",15.8851681911889,15.8606965071311,15.822039592196,15.9818399922335,15.8421231236784,15.5834703364421,15.4190262378294,15.4376746170104
"Q9L1E1",14.0228377058154,14.7748005193472,14.4830577337733,14.5175632449129,14.4684301070035,14.5012827849961,14.2473052140956,14.4056766257865
"Q9L0K4",17.1774288302001,17.2038467536134,17.456575253384,17.4900662838299,17.5264970129568,17.5243365293033,17.5139580012344,17.5122122741348
"Q9L0D2",17.1639147589207,16.9991440879646,17.018078625564,17.3395755946801,17.3550338595407,17.3865158163923,17.4013156079007,17.396905196056
"P40171",17.9376640409118,17.9766095423379,18.002898087588,17.9269061524739,17.9769922558979,17.946789737141,17.8704058432215,17.8535982218381
"P0A3H5",16.7752521835069,16.9296669371808,17.0514198276858,17.072754677393,16.5675596110055,16.9548216060696,17.0429038508996,17.0080459542609
"P41103",17.2055504712474,17.2410679762159,17.2174135216886,17.2329623237141,17.180308317684,17.2531685168609,17.2106788164974,17.2270036273388
"P80735",15.290436775531,14.7853234444178,15.4681397542591,15.0053098456455,16.0608741383572,14.9125716872613,15.516069271353,15.291343241191
"Q9ZBR5",15.4016258003947,15.4723530219809,15.755731661765,15.5226804982132,15.3742631246163,15.2851549341349,15.9076303173585,15.4095191649384
