gene,1,2,3,4,5,6,7,8
Q9S1V9,-1.283529192,-1.308379166,-1.263857463,1.000616152,0.764330348,0.675833436,0.701006038,0.713979846
Q8CK70,-0.579295431,-0.703624416,-0.785128146,-1.679600962,0.730349478,0.71631575,1.012538588,1.28844514
Q8CK68,-1.606518238,0.866971488,-1.425580055,0.630850524,0.320953489,-0.17149557,-0.064533979,1.44935234
Q9RIZ8,1.089411479,1.321329804,1.260240222,-0.06687846,-0.49684402,-1.066700775,-0.957237375,-1.083320875
Q9RIZ7,0.92554848,1.408960248,1.356870824,-0.45430446,-0.205371037,-1.054655385,-0.957994912,-1.019053758
Q9RIZ6,0.656241752,1.381210821,1.45262624,-0.29608727,0.023763172,-1.020895149,-1.035480613,-1.161378952
Q9RIZ1,1.093273428,1.276491584,1.218870386,0.04489442,-0.376267681,-1.130835143,-1.006421987,-1.120005007
Q9RIY6,1.125146893,0.968513167,1.059358882,0.561458024,-0.174596219,-0.999916503,-1.043570628,-1.496393616
Q9RIY4,1.194885265,1.228081522,1.144485696,0.14341801,-0.46392589,-1.110269065,-1.029395876,-1.107279661
Q9RIX9,-0.706842404,0.365407512,0.383044099,-2.357445279,0.949738997,0.256578087,0.355727498,0.75379149
Q9RIX8,-0.902805345,0.474591422,0.296438807,-2.265344038,0.708823833,0.219115746,0.499686969,0.969492605
Q8CK66,-1.192654902,-0.777182709,-0.030205317,-0.782875462,1.094295132,-0.674374017,0.504883992,1.858113284
Q9RI55,-1.024177113,0.795286366,0.590064053,-2.104617683,0.879344393,-0.229344271,0.30450927,0.788934985
Q9RI49,0.748100569,1.357867004,1.084554948,0.644828351,-0.499532811,-0.986095308,-1.070065833,-1.279656919
Q9RI48,0.901368381,1.369588263,1.104421096,0.33333152,-0.366673439,-0.951663604,-0.990424686,-1.39994753
Q9RI47,0.896645213,1.300383585,1.140893372,0.476080723,-0.459709742,-1.043623038,-1.097632925,-1.213037189
Q9RI46,1.09667572,1.298591395,1.107387711,0.246612106,-0.510933133,-1.06290067,-0.904997475,-1.270435654
Q9RI45,1.27388052,1.11448272,0.995486419,0.474680657,-0.609425762,-1.042967272,-0.98874365,-1.217393633
Q9RI43,1.13891674,1.210432,0.785508365,0.601298034,-0.232990613,-1.438859492,-1.076092336,-0.988212699
Q9RI42,0.851186638,1.439093511,1.320499881,-0.424813986,-0.051806347,-0.997806104,-1.06800784,-1.068345754
Q9RI40,1.301687047,1.158996113,1.108550302,0.205389458,-0.650859291,-1.078085495,-0.942264321,-1.103413812
Q9RI38,1.055708044,1.177206063,1.198419666,0.411328921,-0.579797438,-1.082598302,-1.021945925,-1.158321029
Q9RI35,0.932638713,1.380019839,1.304507419,-0.183043673,-0.230778926,-1.039005193,-0.994092135,-1.170246044
Q9RI34,0.73022719,1.405115449,1.290573282,-1.721851059,-0.115269872,-0.535506109,-0.587083202,-0.466205679
Q9RI32,1.078583605,1.318826814,1.291210051,-0.161177111,-0.419881036,-1.037228485,-0.968579871,-1.101753967
Q9RI31,0.998381195,1.274304668,1.316774521,0.051720371,-0.418076093,-1.086514817,-1.018283329,-1.118306516
Q9RI29,0.781271826,1.433976697,1.32378033,0.124723677,-0.520440854,-1.028278568,-1.042076563,-1.072956545
Q9S1R9,-1.301222337,-0.757495152,0.247249838,1.967505137,0.702674628,-0.787054436,-0.62108043,0.549422752
Q9S1P5,-1.225918019,0.373937895,0.304915089,2.268486989,-0.787261174,-0.677561136,-0.18530024,-0.071299404
Q9S1P4,-0.883517317,-1.333814099,-0.596048206,-0.5298125,2.059462441,0.432291163,0.508264337,0.34317418
Q9RKA2,-0.972509099,0.521439317,0.727673563,-2.042354918,1.369131607,0.42948857,-0.121512325,0.088643286
Q9RKA0,-0.708796806,0.94496107,-0.670911205,1.998254575,-0.826533853,-1.175496646,0.204930624,0.233592243
